Norm,Environment,Context,Label
Holding congregational prayers at the office,Government office,Employees holding congregational prayers at the office,Expected
Queuing/silence at bank,Bank,Customers queuing/silent at bank,Expected
Respecting clergy and religious scholars,Religious ceremonies,Attendees respecting the prayer leader,Expected
Tipping service workers,Restaurant,A customer tipping the waiter,Expected
Speeding on the highway,Highway,A driver speeding recklessly on the highway,Taboo
Thanking employees after receiving services,Government office,Citizens after completing official tasks,Normal
Driving without a license,City street,A person driving without a license,Taboo
Wearing inappropriate clothing,Mosque,A woman walking through the mosque premises in inappropriate attire,Taboo
Parking in an inappropriate place,City street,A driver parking their car in a no-parking zone,Normal
Respecting queues and waiting patiently in lines,Hospital,Patients waiting patiently in line at doctors' offices,Expected
Respecting traffic laws/regulations,City Street,A driver driving on the street,Expected
Designing tight and revealing women's clothing,Clothing company,A company designing revealing women's clothing,Taboo
Men are expected to have better job prospects than women,Workplace,Several men and women interviewing for a job,Expected
Free use of internet and social media,Internet cafe,Users freely accessing the internet and social media,Normal
Starting fires in inappropriate or dangerous places,Park,A group of youth lighting a fire under trees,Taboo
Nomadic lifestyle,Nomadic regions,Nomads on their spring migration,Expected
Wearing very revealing and semi-nude clothing,Shopping mall,A foreign woman wearing extremely revealing clothing,Taboo
Jumping over fire on Chaharshanbe Suri,Neighborhood,A youth jumping over fire,Expected
Reciting Quran on Nowruz morning,Home,An individual reciting the Quran on Nowruz day,Normal
Using mobile phones at inappropriate times,Cinema,Viewers using mobile phones during a movie screening,Taboo
Separate seating for men and women at ceremonies,Mourning ceremony,Participants at a mourning ceremony,Expected
Avoiding extremism and ethnic/religious bigotry,Mosque,Attending congregational/religious ceremonies,Expected
Using profane or insulting language,Party,A group of friends at a private party,Normal
Invading others' privacy,Beach,A couple taking photos of another family without permission,Taboo
Supporting stray animals,Park,People caring for and feeding stray animals,Expected
Monitoring citizens' dress/behavior by guidance patrol,City Street,Guidance patrol monitoring public dress/behavior,Expected
Maintaining quietness and silence in the hospital,Hospital,Patients and their companions in the hospital hallway,Expected
Holding private mourning ceremonies for deceased,Home,Family holding mourning ceremony at home,Expected
Warmly greeting neighbors,Nomadic Life,Traditional nomadic tent living,Expected
Domestic violence against spouse,Home,A man physically abusing his wife at home,Taboo
Wearing school uniforms,School,Students wearing standardized school uniforms,Expected
Visiting distant relatives who came for Nowruz,Home,Gathering of a family who came from another city for Nowruz,Expected
Wearing dark colors,City street,A middle-aged woman in black clothing out for a walk,Expected
Unmarried couples meeting in the village,Village,An unmarried girl and boy arranging to meet in the village,Taboo
Visiting relatives and friends on Eid days,Friends/Relatives' homes,Family members visiting relatives and friends on Eid days,Expected
Neglecting rights of the disabled,Government office,An official disregarding a disabled person's accessibility request,Taboo
Respecting confidentiality,Interpersonal relationships,People refraining from revealing others' secrets,Expected
Respecting ethnic traditions at wedding ceremonies,Local wedding,Attending local and ethnic wedding ceremonies,Normal
Harassment of women in public spaces,City street,Men verbally harassing women on the street,Taboo
Maintaining silence during recitation of prayers at ceremonies,Inauguration ceremony,Attendees at the presidential inauguration ceremony,Expected
Protest against rules and regulations,Government office,A citizen protesting against government employees,Normal
Promoting culture of sacrifice and selflessness,University,Students involved in charitable and altruistic activities,Expected
Giving charity and helping the needy,City street,A person financially helping a beggar,Normal
Maintaining chastity and modesty,Educational institutions,Students avoiding unethical behavior,Normal
Protesting against the judicial process in court,Court,A defendant protesting the legal proceedings in court,Normal
Public swearing/verbal abuse,Park,A group of youths swearing/verbally abusing in the park,Taboo
Alcohol consumption,Restaurant,In a restaurant and public setting,Taboo
Insisting guests accept offers out of hospitality,Grandmother's Home,Host offering food/drinks to guest,Expected
Participation in charitable activities,Charity organizations,Citizens providing financial and volunteer support to charities,Expected
Illegal hunting of birds in national parks,National park,A group of hunters illegally hunting birds in a national park,Taboo
Fair labor contracts between workers/employers,Factory,Worker/employer representatives negotiating labor contract,Expected
Promoting peace and friendship among religions/races,Park,An exhibition held to familiarize with different cultures,Expected
Cooperating with emergency/security forces,Emergency Situation,Cooperating with aid personnel in crises,Expected
Sympathizing and assisting injured individuals,City street,Citizens helping victims of an accident on the street,Expected
Financial corruption and cronyism in government bodies,Government offices,Some government employees engaging in financial abuse and cronyism,Taboo
